iban,foundation_date,bank_name,address,capitalization
FR60 7250 2940 63YJ OYFB O1KU V49,12/28/1996,Parisian-Hessel,4159 Donald Drive,n/a
AT29 5729 6216 2704 5655,6/27/1986,Hyatt-Stracke,0 Dahle Hill,$32.91M
TN91 7018 4181 2836 6054 7300,4/21/1988,Rath and Sons,604 Muir Way,n/a
EE64 0031 5814 8033 2797,4/17/1965,Zboncak-Konopelski,778 Starling Pass,$399.01M
FR72 7445 6445 21LG VJEM BT29 328,5/4/1974,Ebert-Bogisich,00 Johnson Street,$13.02M
RS95 1335 8424 8237 5772 71,3/28/1922,Hirthe-Treutel,652 Nevada Parkway,$19.12B
MT11 DLQM 1682 7OKF PQNY D7F9 1JPX UIE,12/18/1935,Kling LLC,7 Oneill Road,$33.92M
PL70 6301 9915 4087 4731 9547 3900,12/21/1971,Lynch Group,30245 Ohio Park,$8.89B
FR58 6003 6579 31T5 DP09 XAWA A55,6/5/1906,Keebler Group,81610 Miller Junction,$167.21M
BA02 4527 0889 2487 8755,8/29/1940,Parisian-Hessel,29 Village Green Parkway,$23.11B
DE64 2936 1725 4939 4790 28,10/24/2004,"Von, Kling and Pollich",9 Bowman Road,$8.51B
BR24 1653 2521 3472 9935 1252 607U G,4/3/1990,Rath Group,490 Pleasure Point,$444.68M
HU90 3768 7145 9758 6594 3543 4929,6/7/2013,Douglas Inc,48608 Kings Trail,$22.24M
AE90 5617 2472 4710 5977 958,4/7/1982,Predovic-Casper,15267 Clemons Lane,$84.35B
IL29 9392 6752 8029 6060 185,8/9/1999,"Lakin, Erdman and Corkery",8 Sheridan Crossing,$2.17B
CZ94 8758 8617 9761 9273 9142,5/12/1918,"Schaden, Lindgren and Mohr",73099 Pawling Point,$252.29M
MR71 1685 2890 9730 1172 3008 396,4/9/1970,Cremin-Legros,52 Buell Pass,$32.02B
BE92 3287 1114 3082,5/16/2007,"Klein, Raynor and Pouros",78031 Mandrake Junction,$145.96M
ME73 1756 0724 4756 6425 35,6/24/2023,"Wiegand, Altenwerth and Hamill",4454 Aberg Avenue,$9.37B
FR23 3327 0970 79VC BHGL HXXB Y38,8/27/1907,Kuhic-Renner,68217 Namekagon Center,$65.99M
SI38 8094 1625 7529 134,3/5/1933,Braun-Rath,72477 Raven Place,$43.94M
IS45 4242 0280 3755 8656 4049 55,9/25/1939,Green Inc,7585 Shoshone Point,$5.75B
HR71 5536 0723 3357 0517 4,7/27/1955,Mayert LLC,4 Judy Avenue,$448.07M
GI45 ZPUH URNO EZMO C6Z7 NMX,3/3/1918,Lubowitz LLC,47122 Mayer Plaza,$388.09M
AL51 0517 4657 Y1WE MQW2 4PWJ 2J2I,5/9/1948,Quigley and Sons,5 Park Meadow Hill,$14.34B
MK06 248I EA1Y K63Y W55,1/17/1905,"Lubowitz, Dare and Turcotte",17598 Kensington Alley,$384.71M
CH04 0260 0XDD ZFWZ KGSP E,6/18/2020,Roob-Predovic,7 1st Lane,n/a
GI47 JBBU KVU9 MEJO D6KY MQF,10/11/1994,Murphy-Pouros,285 Oak Valley Trail,$27.01B
MK46 4226 MPMN AQTC D96,5/20/1906,"Hintz, Pollich and Fadel",37 Sunfield Crossing,$27.01B
IT32 T712 3056 3263 CN42 3WLX 7QF,8/13/1952,Hegmann Group,275 Spaight Center,$22.49B
AD64 0910 8890 ZT2O K1S3 NQ5P,11/20/1908,Hilpert-Wolf,3 Evergreen Avenue,$293.39M
GL36 1914 9110 2561 24,7/8/2023,Okuneva-Flatley,8 Anthes Plaza,$43.25M
FO77 0252 7824 9083 44,7/30/1978,Daugherty-Kozey,0 Kenwood Circle,$618.69M
KZ67 193H MBWN JADX UPFN,10/23/1974,Marquardt and Sons,67 Redwing Plaza,$3.1B
MR56 7785 2458 6497 7697 9261 152,9/29/2005,Cronin Group,66 Esker Junction,$5.22B
FR32 8871 2550 39NF GDOJ KZ0R O88,2/2/2003,"Wehner, Paucek and Baumbach",520 Red Cloud Alley,$162.82M
CH94 8511 88JN FTGD V0YA 6,1/5/1949,Wyman-Hartmann,453 Florence Avenue,n/a
CZ88 6409 1995 5348 7601 6732,8/31/1913,Kreiger and Sons,61 2nd Park,$55.25M
GL30 4327 4197 2415 46,12/3/2006,Wiza Group,5 Dapin Point,$2.73B
TN02 2270 2322 5870 4673 6442,7/7/1912,Kub-Hagenes,0 8th Pass,$3.4B
IS38 2547 2337 1147 7391 2928 36,3/8/1909,"Kuphal, Crooks and Adams",03779 Red Cloud Court,n/a
ES74 8459 6028 1483 6800 5158,1/29/2015,MacGyver and Sons,15502 Main Parkway,n/a
GI32 UMMC 7E5L 11LO TURU W50,1/17/1970,O'Hara-Altenwerth,7 Shopko Junction,$126.72M
MT62 AQJJ 4241 7E1Z Y7ZX GVXM TRA9 M5Z,6/21/1990,"Spinka, Vandervort and Beer",6 Little Fleur Junction,$134.47M
CY27 6964 7971 LX0C XG1R MGOY UFCK,3/4/1991,"Johnston, Hills and Koss",2 Anniversary Drive,$16.17B
FR45 4880 0531 86RZ AAKO IEM0 I33,8/3/1948,Harber-Heaney,187 Tennessee Road,n/a
GI67 LDTG WTFV BU2B RER0 QKN,9/29/2005,Zemlak-Stark,09 Kropf Point,$546.13M
FR39 8249 6404 09UE ELIS WIFP I69,10/19/1988,Price and Sons,90 Evergreen Junction,$39.48B
SE82 3792 2030 5710 8113 5371,10/14/2015,Moen-Ullrich,94 Brickson Park Way,$353.91M
IS70 0178 3348 6741 9586 3588 41,5/27/1972,Kilback-Hegmann,13997 Charing Cross Lane,$3.06B
SM89 D491 0360 501D XRUW HBBQ JS6,9/4/1953,Kulas-Wunsch,63 Schurz Pass,$6.85B
AL04 8673 6805 NAV5 1TIX BYMB CYYQ,8/28/1969,Gleason-Zboncak,9 Pennsylvania Plaza,n/a
LU52 100V A2CU ZRTD K2PS,3/5/1959,Harvey-Durgan,55 Maryland Center,$2.08B
EE32 4836 2329 2691 3470,3/6/1905,"Corwin, Windler and Okuneva",048 Monica Parkway,$7.43B
AZ96 UQBJ AOF5 4F7Y SJAH RZOR B9WJ,12/31/1981,Feeney LLC,773 Maple Pass,$80.33M
LI61 5099 2EN6 VAGV NR31 V,6/12/1966,Crooks Inc,4 Sherman Pass,$975.87M
CY51 1443 4095 JAQF SB15 9HDB PEOW,7/27/1995,Hilpert LLC,0 Debs Street,$666.23M
GE49 CP97 5688 3517 6284 93,7/13/2019,Leannon-Pfeffer,608 Village Green Junction,$389.62M
KW83 JLSX MJ5L LF4F ZD4V 2YGE CELZ LV,7/26/1906,Jacobs LLC,24952 Dwight Plaza,$42.49M
FR33 1177 5077 905M 3GY8 WELW W46,2/26/1977,O'Reilly-Blanda,9 Pawling Road,$2.61M
HU84 6017 8050 5297 6504 1404 7375,10/16/1994,Hayes-Grimes,5 Manufacturers Place,$156.37M
